Time,RTT,No.,Source,Destination,Protocol,Length,Info,Country,Region,City,Org,Longitude,Latitude,Connection,Label
2024-07-07 23:13:26,28.00952380952381,518880,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:27,28.03225806451613,519055,192.168.8.134,162.249.72.5,UDP,73,63220  >  7114 Len=31,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:13:28,28.0,519215,192.168.8.134,162.249.72.5,UDP,102,63220  >  7114 Len=60,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:13:29,28.04424778761062,519382,192.168.8.134,162.249.72.5,UDP,77,63220  >  7114 Len=35,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:13:30,28.11304347826087,519556,162.249.72.5,192.168.8.134,UDP,208,7114  >  63220 Len=166,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:31,28.1,519695,162.249.72.5,192.168.8.134,UDP,542,7114  >  63220 Len=500,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:32,28.11538461538462,519879,192.168.8.134,162.249.72.5,UDP,102,63220  >  7114 Len=60,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:13:33,28.0983606557377,520031,162.249.72.5,192.168.8.134,UDP,214,7114  >  63220 Len=172,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:34,27.97727272727273,520210,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:35,28.06140350877193,520412,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:36,27.984375,520593,162.249.72.5,192.168.8.134,UDP,119,7114  >  63220 Len=77,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:37,27.91525423728813,520773,192.168.8.134,162.249.72.5,UDP,94,63220  >  7114 Len=52,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:13:38,28.11965811965812,520985,192.168.8.134,162.249.72.5,UDP,94,63220  >  7114 Len=52,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:13:39,28.12396694214876,521166,192.168.8.134,162.249.72.5,UDP,94,63220  >  7114 Len=52,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:13:40,28.05084745762712,521344,162.249.72.5,192.168.8.134,UDP,104,7114  >  63220 Len=62,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:41,27.94573643410853,521532,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:42,27.88888888888889,521708,192.168.8.134,162.249.72.5,UDP,73,63220  >  7114 Len=31,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:13:43,28.04651162790698,521856,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:44,28.13709677419355,522044,192.168.8.134,162.249.72.5,UDP,89,63220  >  7114 Len=47,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:13:45,27.89156626506024,522226,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:46,27.888,522478,162.249.72.5,192.168.8.134,UDP,311,7114  >  63220 Len=269,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:47,27.976,522708,192.168.8.134,162.249.72.5,UDP,80,63220  >  7114 Len=38,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:13:48,28.08461538461539,522937,162.249.72.5,192.168.8.134,UDP,199,7114  >  63220 Len=157,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:49,27.8943661971831,523143,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:50,27.98496240601504,523372,192.168.8.134,162.249.72.5,UDP,85,63220  >  7114 Len=43,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:13:51,28.04545454545455,523581,192.168.8.134,162.249.72.5,UDP,85,63220  >  7114 Len=43,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:13:52,27.83703703703704,523771,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:53,28.06923076923077,523930,192.168.8.134,162.249.72.5,UDP,73,63220  >  7114 Len=31,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:13:54,27.86324786324786,524063,162.249.72.5,192.168.8.134,UDP,510,7114  >  63220 Len=468,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:55,28.01574803149606,524193,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:56,28.06194690265487,524336,162.249.72.5,192.168.8.134,UDP,373,7114  >  63220 Len=331,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:57,27.92241379310345,524485,162.249.72.5,192.168.8.134,UDP,590,7114  >  63220 Len=548,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:13:58,28.02857142857143,524659,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
